<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,1,20230101,021900,16509.6900000,16516.6000000,16504.4300000,16513.5300000,15
GDAX.BTC-USD,1,20230101,022000,16513.5200000,16520.1100000,16512.0600000,16517.2000000,19
GDAX.BTC-USD,1,20230101,022100,16517.2200000,16517.3200000,16509.9700000,16515.3100000,18
GDAX.BTC-USD,1,20230101,022200,16515.4000000,16518.4900000,16512.2400000,16517.3700000,12
GDAX.BTC-USD,1,20230101,022300,16517.3700000,16519.4100000,16516.3200000,16516.8900000,6
GDAX.BTC-USD,1,20230101,022400,16517.0800000,16517.4600000,16514.4600000,16517.4200000,9
GDAX.BTC-USD,1,20230101,022500,16516.3300000,16517.3200000,16510.4400000,16515.8400000,33
GDAX.BTC-USD,1,20230101,022600,16516.0600000,16519.5000000,16511.2000000,16512.8300000,31
GDAX.BTC-USD,1,20230101,022700,16512.1800000,16514.7100000,16507.4500000,16514.7100000,17
GDAX.BTC-USD,1,20230101,022800,16513.5700000,16516.4000000,16511.8700000,16515.4200000,9
GDAX.BTC-USD,1,20230101,022900,16516.2100000,16516.9100000,16513.6200000,16515.4600000,12
GDAX.BTC-USD,1,20230101,023000,16515.4600000,16516.8900000,16512.3100000,16513.4300000,12
GDAX.BTC-USD,1,20230101,023100,16513.7400000,16514.0700000,16511.4600000,16513.3800000,4
GDAX.BTC-USD,1,20230101,023200,16513.3800000,16515.6400000,16511.3800000,16515.6400000,5
GDAX.BTC-USD,1,20230101,023300,16515.4600000,16525.7300000,16514.9300000,16523.8200000,21
GDAX.BTC-USD,1,20230101,023400,16524.4300000,16531.3300000,16520.3400000,16529.4400000,14
GDAX.BTC-USD,1,20230101,023500,16529.4100000,16537.6500000,16527.6100000,16536.9100000,35
GDAX.BTC-USD,1,20230101,023600,16536.9100000,16536.9100000,16525.0100000,16532.9300000,40
GDAX.BTC-USD,1,20230101,023700,16532.8800000,16539.1700000,16530.1100000,16539.1700000,15
GDAX.BTC-USD,1,20230101,023800,16539.0000000,16540.0000000,16536.1200000,16539.9400000,16
GDAX.BTC-USD,1,20230101,023900,16539.3000000,16539.9900000,16534.2000000,16535.9600000,16
GDAX.BTC-USD,1,20230101,024000,16534.4200000,16535.9800000,16532.6900000,16533.4400000,5
GDAX.BTC-USD,1,20230101,024100,16534.8200000,16537.0300000,16532.8600000,16535.4700000,10
GDAX.BTC-USD,1,20230101,024200,16535.4700000,16538.8500000,16533.3400000,16538.3500000,7
GDAX.BTC-USD,1,20230101,024300,16537.3000000,16538.7800000,16535.0000000,16537.9600000,22
GDAX.BTC-USD,1,20230101,024400,16538.7100000,16538.7100000,16535.0000000,16536.9300000,40
GDAX.BTC-USD,1,20230101,024500,16536.9300000,16537.6000000,16535.0000000,16537.5900000,12
GDAX.BTC-USD,1,20230101,024600,16536.5400000,16538.8000000,16535.0000000,16535.8500000,22
GDAX.BTC-USD,1,20230101,024700,16535.7600000,16536.7400000,16529.8000000,16531.1000000,101
GDAX.BTC-USD,1,20230101,024800,16530.8900000,16532.6300000,16528.1500000,16531.0900000,11
GDAX.BTC-USD,1,20230101,024900,16532.6300000,16532.6300000,16527.8200000,16528.4500000,4
GDAX.BTC-USD,1,20230101,025000,16529.9200000,16529.9200000,16527.0500000,16527.2100000,5
GDAX.BTC-USD,1,20230101,025100,16527.0200000,16529.2600000,16526.1000000,16526.3700000,7
GDAX.BTC-USD,1,20230101,025200,16526.4300000,16529.0900000,16525.1400000,16528.7600000,10
GDAX.BTC-USD,1,20230101,025300,16528.7600000,16529.5900000,16526.7600000,16529.3200000,6
GDAX.BTC-USD,1,20230101,025400,16529.3000000,16530.3500000,16526.9800000,16529.0100000,22
GDAX.BTC-USD,1,20230101,025500,16530.1400000,16530.3300000,16527.0900000,16528.7300000,6
GDAX.BTC-USD,1,20230101,025600,16528.8100000,16530.3200000,16527.6800000,16529.5900000,3
GDAX.BTC-USD,1,20230101,025700,16529.5900000,16529.8700000,16525.5000000,16529.1100000,16
GDAX.BTC-USD,1,20230101,025800,16527.9800000,16529.2100000,16527.0200000,16528.0300000,3
GDAX.BTC-USD,1,20230101,025900,16528.0400000,16532.0000000,16525.5700000,16530.3500000,38
GDAX.BTC-USD,1,20230101,030000,16531.8300000,16532.0000000,16527.6200000,16531.0000000,10
GDAX.BTC-USD,1,20230101,030100,16531.0000000,16532.6900000,16527.1400000,16529.3800000,6
GDAX.BTC-USD,1,20230101,030200,16528.9400000,16531.0400000,16525.0100000,16527.0700000,24
GDAX.BTC-USD,1,20230101,030300,16525.8200000,16527.0700000,16520.1400000,16522.6500000,16
GDAX.BTC-USD,1,20230101,030400,16521.8100000,16524.3300000,16516.4100000,16523.4800000,19
GDAX.BTC-USD,1,20230101,030500,16522.3200000,16524.5000000,16521.9600000,16524.5000000,11
GDAX.BTC-USD,1,20230101,030600,16524.1600000,16527.7300000,16522.2800000,16524.0200000,21
GDAX.BTC-USD,1,20230101,030700,16524.0300000,16527.3000000,16522.0700000,16522.4300000,11
GDAX.BTC-USD,1,20230101,030800,16522.0900000,16522.4900000,16516.5400000,16518.7200000,30
GDAX.BTC-USD,1,20230101,030900,16517.5400000,16518.5600000,16511.2000000,16515.2900000,17
GDAX.BTC-USD,1,20230101,031000,16514.6500000,16519.3700000,16511.6800000,16513.9200000,18
GDAX.BTC-USD,1,20230101,031100,16514.7500000,16516.9800000,16513.3800000,16515.2100000,9
GDAX.BTC-USD,1,20230101,031200,16514.9500000,16515.7500000,16510.1100000,16511.5700000,10
GDAX.BTC-USD,1,20230101,031300,16511.8200000,16513.8000000,16510.0100000,16513.7500000,8
GDAX.BTC-USD,1,20230101,031400,16512.9700000,16513.7000000,16509.1100000,16510.8200000,22
GDAX.BTC-USD,1,20230101,031500,16509.7800000,16514.7200000,16509.1100000,16510.6600000,39
GDAX.BTC-USD,1,20230101,031600,16511.2200000,16513.6500000,16510.0000000,16511.0900000,50
GDAX.BTC-USD,1,20230101,031700,16510.6400000,16514.2600000,16510.0000000,16514.2100000,33
GDAX.BTC-USD,1,20230101,031800,16514.1800000,16521.4500000,16512.9900000,16521.4400000,29
GDAX.BTC-USD,1,20230101,031900,16520.2000000,16528.3700000,16518.6700000,16525.8000000,24
GDAX.BTC-USD,1,20230101,032000,16526.3700000,16528.6000000,16525.4000000,16528.1300000,11
GDAX.BTC-USD,1,20230101,032100,16527.9200000,16529.6400000,16526.4800000,16529.6000000,11
GDAX.BTC-USD,1,20230101,032200,16529.5900000,16530.6000000,16523.1600000,16525.5700000,11
